Main Patent ;lang;Ten Most Similar Patents;;;;;;;;;;Judge
EP2058763A1;en;EP2059028A1;EP2688288A1;WO2014156635A1;EP1783686A1;EP2858036A1;EP2254097A1;EP2138976A2;EP3021575A1;EP2523459A1;WO2012061261A1;2,1,0,2,1,1,1,1,1,2
WO0045257A2;en;EP2275930A1;WO2008122746A1;WO9625705A1;WO9427214A1;WO9427215A1;WO2011101048A1;WO9828689A1;WO2012003997A1;WO9215932A2;WO9813740A2;1,1,0,1,1,2,2,1,1,2
WO2016058122A1;zh;WO2016161809A1;WO2017076292A1;WO2016023448A1;EP3009914A1;WO2016045001A1;WO2016184357A1;WO2016074638A1;WO2015139626A1;WO2016119076A1;WO2017063156A1;0,2,0,1,0,1,2,1,0,0
WO2005029471A1;ja;WO2006041165A1;WO9222027A1;WO2007058296A1;WO2007096982A1;WO2006022048A1;WO2007083525A1;WO2005031982A1;WO2014010236A1;WO2007058294A1;WO2010090136A1;1,0,1,0,0,2,0,1,1,0
EP2632137A1;en;WO2011032295A1;EP1956531A1;WO2012142054A2;WO2011143451A1;EP1956532A1;WO2011143450A1;WO2011143447A1;WO2009103190A1;EP1953688A1;WO2012102879A1;2,2,0,1,2,1,1,2,2,2
WO02080652A1;en;WO0024239A1;WO2014167229A1;WO2004011875A1;EP3064968A2;WO2016100604A1;EP2869092A2;WO2014009008A1;WO8300940A1;WO8103591A1;WO2012028827A1;2,1,0,1,0,1,0,0,0,0
WO2016143498A1;ja;WO2014024486A1;WO2016157264A1;WO2015198590A1;WO2009044670A1;EP2651104A1;WO9934360A1;WO2016075935A1;WO2012117738A1;WO2015098840A1;WO2006114934A1;0,0,1,1,0,0,1,1,0,0
WO2005043226A2;en;WO2004092926A2;WO2004114078A2;WO03063068A1;WO0028469A2;WO0111876A1;EP0784263A1;EP2495682A1;WO2014152002A2;WO0118741A1;WO9522804A1;2,0,2,0,0,0,0,1,0,2
EP0757343A1;en;EP0992986A2;EP0992985A2;EP1011097A2;EP1022727A2;EP1011098A2;EP0895226A1;EP1011100A2;EP1079376A1;EP0628952A2;EP1045377A2;2,2,2,2,2,2,2,2,1,1,
WO2014178862A2;en;WO2015168436A1;WO2010091320A1;WO2010065886A1;WO2014066779A2;WO2015168281A1;WO2015025221A2;WO2015130773A1;WO2005072296A2;WO2010071827A2;WO9633471A1;2,0,1,1,2,0,2,0,0,0
EP2218485A1;en;WO2009069278A1;WO2012086443A1;EP2463825A1;EP2348393A1;EP2219101A1;EP2124133A1;EP1585063A1;EP2161690A1;WO2014128787A1;WO2009072504A1;2,0,2,2,0,2,2,0,0,1
EP1028431A2;en;WO2004036474A1;WO2011089178A2;WO0019539A1;WO9707543A1;EP0293578A2;WO2008088575A1;WO8100791A1;EP1170798A1;EP0517255A2;WO2009138739A2;0,2,0,2,2,0,1,2,2,2
EP1030297A1;en;EP0756276A1;EP1102170A1;WO0208897A1;EP1770538A2;EP1130597A1;WO2007041777A1;WO0223411A1;WO9410657A1;WO0223321A1;EP2214119A2;1,0,0,0,1,0,0,0,0,0
EP1717335A1;en;EP1717336A1;EP1985725A2;EP2028287A1;EP2022871A2;EP1719822A1;EP1757712A1;WO2005078152A1;WO2005078153A1;EP1895020A1;WO2005083150A1;2,2,2,2,2,2,2,2,2,2
WO2012128314A1;ja;WO2011115142A1;WO2011078244A1;WO2012060093A1;WO2012111404A1;WO2014104376A1;WO2016171050A1;WO2014069169A1;WO2012001982A1;WO2014030630A1;WO2016047313A1;2,2,1,1,1,2,2,2,1,2
EP1137013A2;en;EP1978527A1;WO03052768A1;WO9534897A1;WO2014128246A1;WO0127806A1;WO9012364A1;WO2004055829A1;EP0849675A2;EP2090975A1;WO2008099502A1;0,1,1,0,0,0,0,1,0,0
EP3035222A1;en;WO2013006519A2;WO2014029921A1;WO2015149166A1;WO2008098082A2;WO2013001050A1;WO2012096988A2;WO2010117385A1;WO2016130472A1;WO2010046525A1;WO2014183092A1;0,0,0,1,0,0,0,0,0,1
WO2005041089A1;ja;WO9930259A1;WO0180107A1;WO2009050825A1;WO2015162715A1;WO0159641A1;WO2013031358A1;WO0239403A1;WO03083740A1;WO2007148373A1;WO2004008355A1;2,2,2,2,2,2,2,2,2,2
WO2016129275A1;ja;WO2006035578A1;WO2013105460A1;WO2014049804A1;WO2011055436A1;EP1796054A1;WO2015182629A1;WO2014141343A1;WO2008105098A1;WO2005003951A1;WO2013114538A1;1,0,2,1,1,2,1,1,0,0
EP1321939A2;en;EP1324337A2;EP0923077A1;WO9963671A1;EP1367582A1;EP1431972A2;EP0162558A2;WO03060912A1;EP0178027A2;WO9709718A1;EP0854482A1;2,2,2,2,2,1,2,1,1,1,
WO2015136528A1;en;WO2013093638A2;WO2014074119A1;WO2016091944A1;WO2011067611A2;WO2006023097A1;WO2014189676A1;WO2015108864A1;WO2016144621A1;WO2012068566A1;WO02079900A2;0,0,0,0,0,2,0,0,1,0
WO2014051920A1;en;WO2014011898A1;WO2012135745A1;WO2012129159A1;WO2015095421A1;WO2016011084A1;EP2608143A1;WO2015057902A1;WO2015148191A1;WO2016089636A1;WO2016085682A1;0,1,1,1,0,0,1,0,0,1
EP1947580A1;en;WO2017032452A1;WO2017032453A1;WO2012024115A1;WO2014055792A1;WO2007022358A2;WO2014207548A2;WO2012095026A1;WO2011101533A1;WO2009127984A1;WO2014182964A1;0,0,0,0,0,0,0,0,0,0
WO2013090624A1;en;WO2013012953A1;WO2015038221A1;WO2015077247A1;WO2011123671A2;WO2016134065A1;WO2014122453A2;WO2013048554A1;WO2017026990A1;WO2015166421A1;WO2013044190A1;2,0,2,2,0,2,0,2,2,0
WO2005069293A1;en;EP1555670A1;WO03088002A2;WO0108095A2;EP2273361A1;WO9840881A1;WO2005072936A1;WO03067507A2;WO2005029470A2;WO2005112022A1;EP0549488A1;2,0,0,0,0,1,2,1,1,2
